PriorityRank,TicketID,Numbers
1,TK-00001,"01 11 13 19 22 27"
2,TK-00002,"01 07 12 18 25 27"
3,TK-00003,"01 06 10 15 24 27"
4,TK-00004,"01 04 09 14 25 27"
5,TK-00005,"01 05 08 13 14 27"
6,TK-00006,"01 08 13 15 24 26"
7,TK-00007,"01 09 13 15 24 26"
8,TK-00008,"01 11 17 19 25 26"
9,TK-00009,"01 03 11 15 17 26"
10,TK-00010,"01 19 21 23 24 26"
11,TK-00011,"01 04 07 10 12 27"
12,TK-00012,"01 03 13 14 18 26"
13,TK-00013,"01 05 07 20 22 27"
14,TK-00014,"01 17 19 20 25 26"
15,TK-00015,"01 06 10 16 21 27"
16,TK-00016,"01 15 19 22 23 26"
17,TK-00017,"01 02 04 08 12 27"
18,TK-00018,"01 11 14 17 18 26"
19,TK-00019,"02 11 13 15 22 27"
20,TK-00020,"02 11 13 15 23 27"
21,TK-00021,"02 08 13 18 24 27"
22,TK-00022,"02 03 13 19 25 27"
23,TK-00023,"02 08 15 18 24 27"
24,TK-00024,"01 09 12 18 23 26"
25,TK-00025,"01 19 20 21 23 26"
26,TK-00026,"01 06 11 20 21 26"
27,TK-00027,"01 06 09 21 24 26"
28,TK-00028,"01 08 18 20 25 26"
29,TK-00029,"01 04 10 16 21 27"
30,TK-00030,"01 06 11 14 22 26"
31,TK-00031,"01 08 12 14 18 26"
32,TK-00032,"01 07 12 17 22 27"
33,TK-00033,"02 06 11 19 26 27"
34,TK-00034,"02 06 11 15 21 27"
35,TK-00035,"02 07 13 17 24 27"
36,TK-00036,"01 03 07 15 23 26"
37,TK-00037,"02 07 19 25 26 27"
38,TK-00038,"01 08 09 15 17 26"
39,TK-00039,"02 04 12 19 25 27"
40,TK-00040,"02 09 13 17 19 27"
41,TK-00041,"02 07 09 15 25 27"
42,TK-00042,"02 11 22 24 26 27"
43,TK-00043,"02 04 07 15 19 27"
44,TK-00044,"01 05 15 21 24 26"
45,TK-00045,"02 04 11 14 25 27"
46,TK-00046,"01 13 18 21 23 26"
47,TK-00047,"01 06 13 16 24 26"
48,TK-00048,"02 13 14 19 26 27"
49,TK-00049,"01 04 05 08 22 27"
50,TK-00050,"02 12 13 15 20 27"
51,TK-00051,"02 06 14 24 25 27"
52,TK-00052,"01 11 16 19 22 26"
53,TK-00053,"02 15 21 22 24 27"
54,TK-00054,"01 05 08 15 18 26"
55,TK-00055,"02 04 13 15 20 27"
56,TK-00056,"01 07 12 17 23 26"
57,TK-00057,"01 04 07 21 22 26"
58,TK-00058,"01 04 08 20 22 26"
59,TK-00059,"01 12 17 20 21 26"
60,TK-00060,"01 03 06 16 17 27"
61,TK-00061,"02 15 17 22 23 27"
62,TK-00062,"02 06 18 21 22 27"
63,TK-00063,"01 07 10 13 17 26"
64,TK-00064,"01 05 11 17 22 26"
65,TK-00065,"01 05 07 09 24 26"
66,TK-00066,"02 04 06 14 19 27"
67,TK-00067,"02 03 12 18 26 27"
68,TK-00068,"02 04 08 11 14 27"
69,TK-00069,"01 03 16 22 24 26"
70,TK-00070,"02 08 15 17 20 27"
71,TK-00071,"01 06 10 18 21 26"
72,TK-00072,"02 08 15 20 23 27"
73,TK-00073,"02 03 21 23 25 27"
74,TK-00074,"02 13 14 17 20 27"
75,TK-00075,"02 09 11 12 14 27"
76,TK-00076,"02 04 14 17 18 27"
77,TK-00077,"01 06 07 11 13 26"
